TabId,TabTitle,TabUniverse,DataProductType,Year,Geo1year,Geo5year
B08018,Place of Work for Workers 16 Years and Over--Not Metropolitan or Micropolitan Statistical Area Level ,Workers 16 years and over not living in a metropolitan or micropolitan statistical area,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B08101,Means of Transportation to Work by Age ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08101,Means of Transportation to Work by Age ,Workers 16 years and over,Detailed Table,1,,
B08103,Median Age by Means of Transportation to Work ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105A,Means of Transportation to Work (White Alone) ,White alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105B,Means of Transportation to Work (Black or African American Alone) ,Black or African American alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105C,Means of Transportation to Work (American Indian and Alaska Native Alone) ,American Indian and Alaska Native alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105D,Means of Transportation to Work (Asian Alone) ,Asian alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105E,Means of Transportation to Work (Native Hawaiian and Other Pacific Islander Alone) ,Native Hawaiian and Other Pacific Islander alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105F,Means of Transportation to Work (Some Other Race Alone) ,Some other race alone workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105G,Means of Transportation to Work (Two or More Races) ,Two or more races workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105H,"Means of Transportation to Work (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino workers 16 years and over",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08105I,Means of Transportation to Work (Hispanic or Latino) ,Hispanic or Latino workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08111,Means of Transportation to Work by Citizenship Status ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08111,Means of Transportation to Work by Citizenship Status ,Workers 16 years and over,Detailed Table,1,,
B08113,Means of Transportation to Work by Language Spoken at Home and Ability to Speak English ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08113,Means of Transportation to Work by Language Spoken at Home and Ability to Speak English ,Workers 16 years and over,Detailed Table,1,,
B08119,Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) ,Workers 16 years and over with earnings,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08119,Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) ,Workers 16 years and over with earnings,Detailed Table,1,,
B08121,Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Means of Transportation to Work ,Workers 16 years and over with earnings,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08122,Means of Transportation to Work by Poverty Status in the Past 12 Months ,Workers 16 years and over for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08122,Means of Transportation to Work by Poverty Status in the Past 12 Months ,Workers 16 years and over for whom poverty status is determined,Detailed Table,1,,
B08124,Means of Transportation to Work by Occupation ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08124,Means of Transportation to Work by Occupation ,Workers 16 years and over,Detailed Table,1,,
B08126,Means of Transportation to Work by Industry ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08126,Means of Transportation to Work by Industry ,Workers 16 years and over,Detailed Table,1,,
B08128,Means of Transportation to Work by Class of Worker ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08128,Means of Transportation to Work by Class of Worker ,Workers 16 years and over,Detailed Table,1,,
B08130,Means of Transportation to Work by Place of Work--State and County Level ,Workers 16 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08130,Means of Transportation to Work by Place of Work--State and County Level ,Workers 16 years and over,Detailed Table,1,,
B08131,Aggregate Travel Time to Work (in Minutes) of Workers by Place of Work--State and County Level ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08132,Means of Transportation to Work by Time of Departure to Go to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08132,Means of Transportation to Work by Time of Departure to Go to Work ,Workers 16 years and over who did not work from home,Detailed Table,1,,
B08133,Aggregate Travel Time to Work (in Minutes) of Workers by Time of Departure to Go to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08134,Means of Transportation to Work by Travel Time to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C08134,Means of Transportation to Work by Travel Time to Work ,Workers 16 years and over who did not work from home,Detailed Table,1,,
B08135,Aggregate Travel Time to Work (in Minutes) of Workers by Travel Time to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B08136,Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C08136,Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work ,Workers 16 years and over who did not work from home,Detailed Table,1,,
B08137,Means of Transportation to Work by Tenure ,Workers 16 years and over in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08141,Means of Transportation to Work by Vehicles Available ,Workers 16 years and over in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C08141,Means of Transportation to Work by Vehicles Available ,Workers 16 years and over in households,Detailed Table,1,,
B08201,Household Size by Vehicles Available ,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08202,Household Size by Number of Workers in Household ,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08203,Number of Workers in Household by Vehicles Available ,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B08301,Means of Transportation to Work ,Workers 16 years and over,Detailed Table,"1,5",,
C08301,Means of Transportation to Work ,Workers 16 years and over,Detailed Table,1,,
B08302,Time of Departure to Go to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,
B08303,Travel Time to Work ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",,
B08406,Sex of Workers by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08406,Sex of Workers by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08412,Sex of Workers by Travel Time to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08501,Means of Transportation to Work by Age for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08501,Means of Transportation to Work by Age for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08503,Median Age by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505A,Means of Transportation to Work for Workplace Geography (White Alone) ,White alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505B,Means of Transportation to Work for Workplace Geography (Black or African American Alone) ,Black or African American alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505C,Means of Transportation to Work for Workplace Geography (American Indian and Alaska Native Alone) ,American Indian and Alaska Native alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505D,Means of Transportation to Work for Workplace Geography (Asian Alone) ,Asian alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505E,Means of Transportation to Work for Workplace Geography (Native Hawaiian and Other Pacific Islander Alone) ,Native Hawaiian and Other Pacific Islander alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505F,Means of Transportation to Work for Workplace Geography (Some Other Race Alone) ,Some other race alone workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505G,Means of Transportation to Work for Workplace Geography (Two or More Races) ,Two or more races workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505H,"Means of Transportation to Work for Workplace Geography (White Alone, Not Hispanic or Latino) ","White alone, not Hispanic or Latino workers 16 years and over",Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08505I,Means of Transportation to Work for Workplace Geography (Hispanic or Latino) ,Hispanic or Latino workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08511,Means of Transportation to Work by Citizenship Status for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08511,Means of Transportation to Work by Citizenship Status for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08513,Means of Transportation to Work by Language Spoken at Home and Ability to Speak English for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08513,Means of Transportation to Work by Language Spoken at Home and Ability to Speak English for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08519,Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Workplace Geography ,Workers 16 years and over with earnings,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08519,Means of Transportation to Work by Workers' Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) for Workplace Geography ,Workers 16 years and over with earnings,Detailed Table,1,Place of Work geographies,
B08521,Median Earnings in the Past 12 Months (in 2022 Inflation-Adjusted Dollars) by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over with earnings,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08522,Means of Transportation to Work by Poverty Status in the Past 12 Months for Workplace Geography ,Workers 16 years and over for whom poverty status is determined,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08522,Means of Transportation to Work by Poverty Status in the Past 12 Months for Workplace Geography ,Workers 16 years and over for whom poverty status is determined,Detailed Table,1,Place of Work geographies,
B08524,Means of Transportation to Work by Occupation for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08524,Means of Transportation to Work by Occupation for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08526,Means of Transportation to Work by Industry for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08526,Means of Transportation to Work by Industry for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08528,Means of Transportation to Work by Class of Worker for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08528,Means of Transportation to Work by Class of Worker for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08532,Means of Transportation to Work by Time Arriving at Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08532,Means of Transportation to Work by Time Arriving at Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,1,Place of Work geographies,
B08534,Means of Transportation to Work by Travel Time to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08534,Means of Transportation to Work by Travel Time to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,1,Place of Work geographies,
B08536,Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08536,Aggregate Travel Time to Work (in Minutes) of Workers by Means of Transportation to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,1,Place of Work geographies,
B08537,Means of Transportation to Work by Tenure for Workplace Geography ,Workers 16 years and over in households,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
B08541,Means of Transportation to Work by Vehicles Available for Workplace Geography ,Workers 16 years and over in households,Detailed Table,"1,5",Place of Work geographies,"Place of Work geographies; excludes Place/Remainder (070), County within Place (155)"
C08541,Means of Transportation to Work by Vehicles Available for Workplace Geography ,Workers 16 years and over in households,Detailed Table,1,Place of Work geographies,
B08601,Means of Transportation to Work for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,Place of Work geographies
C08601,Means of Transportation to Work for Workplace Geography ,Workers 16 years and over,Detailed Table,1,Place of Work geographies,
B08602,Time Arriving at Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,Place of Work geographies
B08603,Travel Time to Work for Workplace Geography ,Workers 16 years and over who did not work from home,Detailed Table,"1,5",Place of Work geographies,Place of Work geographies
B08604,Worker Population for Workplace Geography ,Workers 16 years and over,Detailed Table,"1,5",Place of Work geographies,Place of Work geographies
B09001,Population Under 18 Years by Age  ,Population under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B09002,Own Children Under 18 Years by Family Type and Age ,Own children under 18 years,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B09005,"Household Type for Children Under 18 Years in Households (Excluding Householders, Spouses, and Unmarried Partners) ","Population under 18 years in households (excluding householders, spouses, and unmarried partners)",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B09010,"Receipt of Supplemental Security Income (SSI), Cash Public Assistance Income, or Food Stamps/SNAP in the Past 12 Months by Household Type for Children Under 18 Years in Households ",Population under 18 years in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B09018,Relationship to Householder for Children Under 18 Years in Households ,"Population under 18 years in households (excluding householders, spouses, and unmarried partners)",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B09019,Household Type (Including Living Alone) by Relationship  ,Total population,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C09019,Household Type (Including Living Alone) by Relationship  ,Total population,Detailed Table,1,,
B09020,Relationship by Household Type (Including Living Alone) for the Population 65 Years and Over ,Population 65 years and over,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B09021,Living Arrangements of Adults 18 Years and Over by Age ,Population 18 years and over in households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B10001,Grandchildren Under 18 Years Living With a Grandparent Householder by Age of Grandchild ,Grandchildren under 18 living with grandparent householder,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10002,Grandchildren Under 18 Years Living With a Grandparent Householder by Grandparent Responsibility and Presence of Parent  ,Grandchildren under 18 living with grandparent householder,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10010,Median Family Income for Families With Grandparent Householders and/or Spouses Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Presence of Parent of Grandchildren ,Families With Grandparent Householders And/Or Spouses Living With Grandchildren,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10050,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Length of Time Responsible for Own Grandchildren for the Population 30 Years and Over  ,Population 30 years and over,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren by Presence of Parent of Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years in households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051A,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (White Alone) ,Grandparents (White alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051B,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Black or African American Alone) ,Grandparents (Black or African American alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051C,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (American Indian and Alaska Native Alone) ,Grandparents (American Indian and Alaska Native alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051D,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Asian Alone) ,Grandparents (Asian alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051E,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Native Hawaiian and Other Pacific Islander Alone) ,Grandparents (Native Hawaiian and Other Pacific Islander alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051F,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Some Other Race Alone) ,Grandparents (Some other race alone) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051G,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Two or More Races) ,Grandparents (Two or more races) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051H,"Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (White Alone, Not Hispanic or Latino) ","Grandparents (White alone, not Hispanic or Latino) living with own grandchildren under 18 years",Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10051I,Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent (Hispanic or Latino) ,Grandparents (Hispanic or Latino) living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10052,Disability Status of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Civilian grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10053,Nativity by Grandparents Responsible for Own Grandchildren Under 18 Years by Age of Grandparent ,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10054,Language and Ability to Speak English of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10056,Sex of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10057,Marital Status by Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10058,Employment Status of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10059,Poverty Status in the Past 12 Months of Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Age of Grandparent ,Grandparents living with own grandchildren under 18 years for whom poverty status is determined,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B10063,Households With Grandparents Living With Own Grandchildren Under 18 Years by Responsibility for Own Grandchildren and Presence of Parent of Grandchildren ,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11001,Household Type (Including Living Alone) ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001A,Household Type (Including Living Alone) (White Alone) ,Households with a householder who is White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001B,Household Type (Including Living Alone) (Black or African American Alone) ,Households with a householder who is Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001C,Household Type (Including Living Alone) (American Indian and Alaska Native Alone) ,Households with a householder who is American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001D,Household Type (Including Living Alone) (Asian Alone) ,Households with a householder who is Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001E,Household Type (Including Living Alone) (Native Hawaiian and Other Pacific Islander Alone) ,Households with a householder who is Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001F,Household Type (Including Living Alone) (Some Other Race Alone) ,Households with a householder who is Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001G,Household Type (Including Living Alone) (Two or More Races) ,Households with a householder who is Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001H,"Household Type (Including Living Alone) (White Alone, Not Hispanic or Latino) ","Households with a householder who is White alone, not Hispanic or Latino",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11001I,Household Type (Including Living Alone) (Hispanic or Latino) ,Households with a householder who is Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002,Household Type by Relatives and Nonrelatives for Population in Households ,Population in households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002A,Household Type by Relatives and Nonrelatives for Population in Households (White Alone) ,Population in households with a householder who is White alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002B,Household Type by Relatives and Nonrelatives for Population in Households (Black or African American Alone) ,Population in households with a householder who is Black or African American alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002C,Household Type by Relatives and Nonrelatives for Population in Households (American Indian and Alaska Native Alone) ,Population in households with a householder who is American Indian and Alaska Native alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002D,Household Type by Relatives and Nonrelatives for Population in Households (Asian Alone) ,Population in households with a householder who is Asian alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002E,Household Type by Relatives and Nonrelatives for Population in Households (Native Hawaiian and Other Pacific Islander Alone) ,Population in households with a householder who is Native Hawaiian and Other Pacific Islander alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002F,Household Type by Relatives and Nonrelatives for Population in Households (Some Other Race Alone) ,Population in households with a householder who is Some Other Race alone,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002G,Household Type by Relatives and Nonrelatives for Population in Households (Two or More Races) ,Population in households with a householder who is Two or More Races,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002H,"Household Type by Relatives and Nonrelatives for Population in Households (White Alone, Not Hispanic or Latino) ","Population in households with a householder who is White alone, not Hispanic or Latino",Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11002I,Household Type by Relatives and Nonrelatives for Population in Households (Hispanic or Latino) ,Population in households with a householder who is Hispanic or Latino,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11003,Family Type by Presence and Age of Own Children Under 18 Years  ,Families,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11004,Family Type by Presence and Age of Related Children Under 18 Years ,Families,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11005,Households by Presence of People Under 18 Years by Household Type ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C11005,Households by Presence of People Under 18 Years by Household Type ,Households,Detailed Table,1,,
B11006,Households by Presence of People 60 Years and Over by Household Type ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11007,"Households by Presence of People 65 Years and Over, Household Size and Household Type ",Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11008,Cohabiting Couple Households by Presence and Age of Own Children Under 18 Years ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11009,Coupled Households by Type ,Households,Detailed Table,"1,5","United States (010), Region (020), Division (030), State (040)","United States (010), Region (020), Division (030), State (040)"
B11010,Nonfamily Households by Sex of Householder by Living Alone by Age of Householder ,Nonfamily households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C11010,Nonfamily Households by Sex of Householder by Living Alone by Age of Householder ,Nonfamily households,Detailed Table,1,,
B11011,Household Type by Units in Structure ,Households,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
B11012,Households by Type ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11013,Subfamily Type by Presence of Own Children Under 18 Years ,Subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C11013,Subfamily Type ,Subfamilies,Detailed Table,1,,
B11014,Population in Subfamilies by Subfamily Type by Relationship ,Population in subfamilies,Detailed Table,"1,5",,"Excludes Place/Remainder and Block Group geographies (070,150,258,293,294)"
C11014,Population in Subfamilies by Subfamily Type  ,Population in subfamilies,Detailed Table,1,,
B11015,Households by Presence of Nonrelatives ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
B11016,Household Type by Household Size ,Households,Detailed Table,"1,5",,Excludes Place/Remainder (070)
C11016,Household Type by Household Size ,Households,Detailed Table,1,,
