,PUMA,AGEP,SEX,MSP,HISP,RAC1P,NOC,NPF,HOUSING_TYPE,OWN_RENT,DENSITY,INDP,INDP_CAT,EDU,PINCP,PINCP_DECILE,POVPIP,DVET,DREM,DPHY,DEYE,DEAR,PWGTP,WGTP
33584,06-07502,65,1,1,0,6,0,4,1,1,33632.6,8680,14,4,0.0,0,30,N,2,2,2,2,341,264
33585,38-00100,61,2,1,0,1,0,2,1,1,73.0,6870,9,5,40000.0,5,246,N,2,2,2,2,157,156
33586,17-03529,78,1,1,0,1,0,2,1,2,15097.5,N,N,9,30800.0,5,495,N,2,2,2,2,108,109
33587,24-01004,40,2,1,0,1,1,3,1,1,4187.9,770,3,10,103000.0,8,501,N,2,2,2,2,45,42
33588,06-07502,36,1,1,0,1,0,2,1,2,33632.6,6672,8,10,203000.0,9,501,N,2,2,2,2,85,84
33589,40-00200,60,2,1,0,1,0,2,1,1,90.7,3380,4,9,65000.0,8,501,N,2,2,2,2,126,125
33590,26-02702,28,1,1,0,1,0,2,1,2,4817.2,7870,11,11,116000.0,9,501,N,2,2,2,2,151,151
33591,36-04010,71,1,1,0,2,0,2,1,2,50441.6,N,N,4,20200.0,4,455,N,2,1,2,2,71,93
33592,24-01004,66,2,1,0,1,0,2,1,1,4187.9,7270,10,11,373200.0,9,501,N,2,2,2,2,53,53
33593,19-01700,40,2,1,0,1,2,4,1,2,3572.3,8590,14,8,20000.0,3,174,N,2,2,2,2,225,226
33594,17-03531,41,1,1,0,2,1,3,1,2,11171.6,6180,7,5,30000.0,5,482,N,2,2,2,2,115,88
33595,32-00405,53,2,1,1,1,2,5,1,1,7990.5,N,N,3,0.0,0,206,N,2,2,2,2,107,93
33596,26-02702,47,2,1,0,1,0,3,1,1,4817.2,7870,11,9,76000.0,8,501,N,2,2,2,2,113,120
33597,24-01004,36,2,1,0,1,2,4,1,1,4187.9,7470,10,9,100000.0,8,501,N,2,2,2,2,66,68
33598,29-01901,86,1,1,0,2,0,2,1,1,5434.8,N,N,5,23400.0,4,208,N,2,2,2,2,118,117
33599,13-04600,54,2,1,0,2,0,2,1,1,3670.4,9470,16,5,80000.0,8,475,N,2,2,2,2,64,64
33600,36-04010,88,2,1,0,2,0,2,1,1,50441.6,N,N,3,9600.0,2,133,N,2,2,2,2,253,290
33601,17-03529,56,2,1,0,2,0,2,1,2,15097.5,6190,7,5,22000.0,4,130,N,2,2,2,2,221,211
33602,28-01100,42,2,1,0,2,2,4,1,1,2674.3,6992,9,10,176900.0,9,501,N,2,2,2,2,105,105
33603,24-01004,63,1,1,0,1,0,4,1,1,4187.9,9470,16,11,155000.0,9,501,N,2,2,2,2,90,90
33604,24-01004,77,1,1,0,1,0,2,1,1,4187.9,N,N,10,144700.0,9,501,N,2,2,2,2,74,73
33605,36-04010,62,2,1,0,6,0,2,1,1,50441.6,8191,12,7,40000.0,5,404,N,2,2,2,2,229,231
33606,38-00100,62,2,1,0,1,0,2,1,1,73.0,8170,12,5,740.0,0,85,N,2,2,2,2,17,17
33607,30-00600,47,2,1,0,2,3,5,1,1,16.3,7860,11,11,85400.0,9,288,N,2,1,2,2,83,67
33608,30-00600,82,1,1,0,1,0,2,1,1,16.3,N,N,6,17000.0,3,374,N,1,1,2,2,84,84
33609,38-00100,75,1,1,0,1,0,2,1,1,73.0,N,N,5,9800.0,2,207,N,2,1,2,2,312,312
33610,17-03529,32,2,1,0,1,0,2,1,2,15097.5,8680,14,9,30000.0,5,344,N,2,2,2,2,146,149
33611,24-01004,32,2,1,0,1,0,2,1,2,4187.9,7380,10,9,137000.0,9,501,N,2,2,2,2,82,87
33612,17-03529,46,2,1,0,2,0,3,1,1,15097.5,8270,12,7,35000.0,5,501,N,2,2,2,2,42,42
33613,06-08507,67,1,1,0,6,0,2,1,1,3305.1,8680,14,9,7700.0,2,61,N,2,2,2,2,112,112
33614,38-00100,64,1,1,0,1,0,2,1,1,73.0,6180,7,9,40780.0,6,501,N,2,2,2,2,25,25
33615,36-04010,60,2,1,0,2,0,4,1,2,50441.6,7460,10,6,69000.0,7,339,N,2,2,2,2,83,84
33616,19-01700,50,1,1,0,1,0,5,1,2,3572.3,3470,4,5,30000.0,5,205,N,2,2,2,2,55,55
33617,06-08507,35,1,1,0,1,2,4,1,2,3305.1,7071,9,9,571000.0,9,501,N,2,2,2,2,109,105
33618,38-00100,37,2,1,0,1,2,4,1,1,73.0,9370,16,5,24000.0,4,305,N,2,2,2,2,22,22
33619,17-03531,78,1,1,0,2,0,4,1,1,11171.6,8170,12,8,3000.0,1,153,N,2,2,2,2,42,42
33620,51-51255,48,1,1,0,4,0,2,1,2,11224.3,6190,7,9,18000.0,3,217,N,2,2,2,2,198,198
33621,30-00600,64,1,1,0,1,0,2,1,1,16.3,2070,4,7,139500.0,9,501,N,2,2,2,2,48,47
33622,38-00100,59,2,1,0,1,0,2,1,1,73.0,3895,4,5,2400.0,1,114,N,2,2,2,2,57,57
33623,30-00600,72,1,1,0,1,0,2,1,1,16.3,N,N,5,14700.0,3,140,N,2,2,2,2,23,23
33624,32-00405,65,1,1,0,1,0,2,1,1,7990.5,8563,14,9,130000.0,9,501,N,2,2,2,2,52,51
33625,30-00600,36,1,1,0,1,2,4,1,1,16.3,6170,7,5,100000.0,9,391,N,2,2,2,2,32,19
33626,06-08507,75,2,1,0,1,0,2,1,1,3305.1,N,N,9,15500.0,3,210,N,1,1,2,2,61,55
33627,32-00405,41,2,1,1,8,3,5,1,1,7990.5,8680,14,10,38000.0,6,264,N,2,2,2,2,68,64
33628,24-01004,74,1,1,0,1,0,2,1,1,4187.9,N,N,10,127000.0,9,501,N,2,2,2,2,55,55
33629,19-01700,68,2,1,0,1,0,2,1,1,3572.3,N,N,9,23340.0,4,501,N,2,2,1,1,165,137
33630,06-08507,71,2,1,0,1,3,7,1,1,3305.1,N,N,9,13200.0,3,501,N,2,2,2,2,67,62
33631,06-08507,84,1,1,0,6,0,2,1,1,3305.1,N,N,12,369000.0,9,501,N,2,2,2,2,42,44
33632,28-01100,84,1,1,0,2,0,2,1,1,2674.3,N,N,6,55780.0,8,501,2,1,1,2,2,39,45
33633,28-01100,40,1,1,0,1,0,2,1,2,2674.3,6991,9,11,51300.0,8,501,N,2,2,2,2,44,40
33634,38-00100,68,2,1,0,1,0,2,1,1,73.0,4690,6,5,48000.0,6,501,N,2,2,2,2,23,12
33635,36-04010,72,1,1,0,2,0,2,1,1,50441.6,N,N,10,73000.0,7,501,N,2,2,2,2,107,149
33636,26-02702,33,1,1,0,6,0,2,1,1,4817.2,7870,11,9,8000.0,2,374,N,2,2,2,2,60,60
33637,24-01004,59,2,1,0,1,0,6,1,1,4187.9,8290,12,7,20800.0,3,362,N,2,2,2,2,43,42
33638,24-01004,63,1,1,0,1,0,3,1,1,4187.9,9490,16,10,156000.0,9,501,N,2,2,2,2,71,70
33639,06-08507,64,2,1,0,1,0,2,1,1,3305.1,7970,12,11,285000.0,9,501,N,2,2,2,2,110,103
33640,06-08507,76,2,1,0,1,0,2,1,1,3305.1,N,N,9,103200.0,8,501,N,2,2,2,2,57,52
33641,06-07502,44,2,1,0,6,2,4,1,2,33632.6,8660,14,5,50000.0,6,351,N,2,2,2,2,66,68
33642,36-04010,67,1,1,0,2,0,2,1,1,50441.6,7860,11,10,107000.0,8,501,N,2,2,2,2,45,46
33643,28-01100,72,2,1,0,2,0,5,1,1,2674.3,N,N,1,10500.0,3,86,N,2,1,2,2,24,41
33644,06-07502,41,2,1,0,1,2,4,1,1,33632.6,6870,9,9,244000.0,9,501,N,2,2,2,2,53,52
33645,17-03531,54,2,1,0,2,0,3,1,1,11171.6,8470,13,8,50000.0,6,250,N,2,2,2,2,65,72
33646,38-00100,38,1,1,0,1,3,5,1,1,73.0,6992,9,7,46000.0,6,328,N,2,2,2,2,207,184
33647,24-01004,58,1,1,0,1,0,2,1,1,4187.9,4490,5,11,262000.0,9,501,N,2,2,2,2,55,54
33648,08-00803,64,1,1,0,1,0,2,1,1,3393.2,N,N,10,1500.0,1,501,N,2,2,2,2,113,105
33649,06-08507,64,1,1,0,1,0,3,1,1,3305.1,N,N,10,0.0,0,454,N,2,2,2,1,65,63
33650,24-01004,46,2,1,0,1,1,3,1,1,4187.9,6470,8,9,130000.0,9,501,N,2,2,2,2,12,12
33651,08-00803,69,2,1,0,1,0,2,1,1,3393.2,N,N,10,0.0,0,501,N,2,2,2,2,51,51
33652,19-01700,66,1,1,0,1,0,2,1,1,3572.3,770,3,6,70000.0,8,501,N,2,2,2,1,151,182
33653,38-00100,55,2,1,0,1,1,5,1,1,73.0,770,3,5,76000.0,8,342,N,2,2,2,2,26,32
33654,06-08507,48,1,1,0,1,1,3,1,1,3305.1,7870,11,10,170000.0,9,501,N,2,2,2,2,55,60
33655,26-02702,62,1,1,0,1,0,3,1,1,4817.2,N,N,7,6300.0,1,39,N,2,2,2,2,93,93
33656,30-00600,35,2,1,0,1,2,4,1,1,16.3,180,0,9,0.0,0,116,N,2,2,2,2,35,51
33657,24-01004,36,2,1,1,6,2,4,1,2,4187.9,N,N,5,0.0,0,311,N,2,2,2,2,58,128
33658,06-08507,32,1,1,0,3,2,5,1,1,3305.1,3390,4,9,172200.0,9,501,N,2,2,2,2,62,62
33659,40-00200,53,2,1,0,1,0,3,1,1,90.7,N,N,5,20400.0,4,407,N,2,2,2,2,81,93
33660,38-00100,32,1,1,0,1,4,6,1,2,73.0,7580,10,9,130000.0,9,384,N,2,2,2,2,167,136
33661,30-00600,70,1,1,0,1,0,2,1,1,16.3,N,N,6,37510.0,6,318,N,2,2,2,2,122,122
33662,19-01700,70,1,1,0,6,1,3,1,1,3572.3,N,N,6,0.0,0,0,5,2,2,2,2,44,44
33663,36-04010,36,1,1,0,2,2,5,1,1,50441.6,7590,10,8,78000.0,8,408,N,2,2,2,2,89,89
33664,30-00600,56,2,1,0,1,0,2,1,1,16.3,7860,11,10,71000.0,8,501,N,2,2,2,2,21,32
33665,30-00600,69,2,1,0,1,0,2,1,1,16.3,N,N,8,13100.0,3,189,N,2,2,2,2,50,45
33666,38-00100,57,2,1,0,1,0,2,1,1,73.0,8191,12,7,190000.0,9,501,N,2,2,2,2,83,99
33667,29-01901,75,1,1,0,1,0,2,1,1,5434.8,N,N,5,0.0,0,0,N,2,2,2,2,123,97
33668,36-03710,30,2,1,1,3,1,3,1,1,52864.7,6480,8,9,70000.0,7,490,N,1,2,2,2,104,174
33669,13-04600,38,1,1,0,1,3,5,1,1,3670.4,8191,12,10,92100.0,8,501,N,2,2,2,2,65,59
33670,38-00100,54,1,1,0,1,0,4,1,2,73.0,490,1,6,98000.0,9,501,N,2,2,2,2,21,14
33671,36-04010,36,2,1,0,6,1,3,1,1,50441.6,8191,12,9,100000.0,8,501,N,2,2,2,2,112,90
33672,24-01004,23,2,1,0,2,0,2,1,2,4187.9,7870,11,10,3000.0,1,17,N,2,2,2,2,56,56
33673,08-00803,55,1,1,0,1,0,4,1,1,3393.2,7770,10,10,6000.0,1,501,N,2,2,2,2,105,106
33674,30-00600,68,1,1,0,1,0,2,1,1,16.3,N,N,7,1400.0,1,501,N,2,2,2,2,14,16
33675,36-04010,55,1,1,3,6,1,6,1,2,50441.6,8680,14,3,53000.0,6,367,N,2,2,2,2,360,394
33676,24-01004,78,1,1,0,1,0,2,1,1,4187.9,N,N,9,63200.0,6,501,N,2,2,2,2,70,60
33677,24-01004,39,1,1,0,1,0,2,1,1,4187.9,9190,15,10,180000.0,9,501,N,2,2,2,2,56,52
33678,24-01004,69,1,1,0,1,0,2,1,1,4187.9,7970,12,11,192000.0,9,501,N,2,2,2,2,74,74
33679,38-00100,28,2,1,0,1,4,6,1,1,73.0,8470,13,8,36000.0,5,281,N,2,2,2,2,28,28
33680,24-01004,60,2,1,0,1,0,2,1,1,4187.9,9470,16,11,165070.0,9,501,N,2,2,2,2,59,59
33681,51-51255,27,2,1,0,2,0,2,1,2,11224.3,8680,14,10,27000.0,4,344,N,2,2,2,2,109,99
33682,32-00405,35,1,1,1,1,2,4,1,1,7990.5,570,2,7,45000.0,6,215,N,2,2,2,2,56,56
33683,30-00600,37,2,1,0,1,2,4,1,1,16.3,180,0,8,48000.0,7,269,N,2,2,2,2,48,48
33684,06-08507,80,1,1,0,1,0,2,1,1,3305.1,N,N,9,71100.0,7,501,N,2,2,2,2,95,95
33685,51-01301,62,2,1,0,1,0,2,1,1,11162.8,7390,10,12,99100.0,8,501,N,2,2,2,2,59,60
33686,24-01004,62,1,1,0,1,0,2,1,1,4187.9,7270,10,11,556900.0,9,501,N,2,1,2,2,54,53
33687,40-00200,31,2,1,0,1,6,8,1,1,90.7,8370,13,5,68000.0,8,202,N,2,2,2,2,165,197
33688,06-08507,60,2,1,0,6,0,3,1,1,3305.1,6695,8,10,60000.0,7,501,N,2,2,2,2,89,89
33689,36-04010,64,1,1,0,2,0,2,1,1,50441.6,6680,8,8,80000.0,8,501,N,2,2,2,2,53,47
33690,51-51255,35,2,1,0,1,1,3,1,1,11224.3,7860,11,10,68000.0,7,501,N,2,2,2,2,79,79
33691,06-07502,46,1,1,0,6,0,7,1,1,33632.6,6880,9,7,40000.0,6,484,N,2,2,2,2,151,120
33692,51-51255,68,1,1,0,1,1,3,1,1,11224.3,N,N,7,0.0,0,365,N,1,2,2,1,282,282
33693,24-01004,62,2,1,4,1,0,2,1,1,4187.9,8970,15,7,8000.0,2,52,N,2,2,2,2,51,41
33694,24-01004,56,1,1,0,1,0,2,1,1,4187.9,9590,16,9,168900.0,9,501,N,2,2,2,2,60,60
33695,38-00100,64,1,1,0,1,0,2,1,1,73.0,8770,15,7,26700.0,4,297,N,2,2,2,2,18,16
33696,24-01004,50,2,1,0,1,2,4,1,1,4187.9,7280,10,11,552000.0,9,501,N,2,2,2,2,30,30
33697,30-00600,54,1,1,0,1,0,2,1,1,16.3,490,1,5,110000.0,9,501,N,2,2,2,2,391,390
33698,06-08507,69,1,1,0,1,0,2,1,1,3305.1,8191,12,10,100000.0,8,501,N,2,2,2,1,50,51
33699,30-00600,80,2,1,1,1,0,2,1,2,16.3,N,N,7,43000.0,6,464,N,2,2,2,2,25,15
33700,38-00100,29,2,1,0,1,0,2,1,2,73.0,770,3,8,23000.0,4,401,N,2,2,2,1,90,66
33701,08-00803,65,1,1,0,1,0,2,1,1,3393.2,N,N,9,64000.0,7,501,N,2,2,2,2,69,71
33702,24-01004,69,1,1,0,1,0,2,1,1,4187.9,7270,10,11,552000.0,9,501,N,2,2,2,2,55,55
33703,36-04010,35,2,1,0,2,0,2,1,2,50441.6,8170,12,5,45700.0,6,269,N,2,2,2,2,79,79
33704,24-01004,41,1,1,0,1,2,4,1,1,4187.9,7270,10,9,320000.0,9,501,N,2,2,2,2,14,14
33705,51-51255,32,1,1,0,2,1,3,1,2,11224.3,9590,16,10,114010.0,8,501,N,2,2,2,2,202,194
33706,24-01004,35,1,1,0,1,1,3,1,1,4187.9,7970,12,12,195000.0,9,501,N,2,2,2,2,56,57
33707,06-08507,86,2,1,0,1,0,3,1,1,3305.1,N,N,9,39400.0,5,302,N,2,1,2,2,59,60
33708,36-03710,41,1,1,0,1,3,5,1,1,52864.7,7860,11,11,120000.0,9,501,N,2,2,2,2,92,91
33709,51-01301,37,2,1,0,4,3,5,1,1,11162.8,7071,9,9,150000.0,9,501,N,2,2,2,2,23,24
33710,30-00600,48,2,1,0,1,0,3,1,1,16.3,7860,11,8,3600.0,1,331,N,2,2,2,2,182,253
33711,30-00600,29,1,1,0,4,3,5,1,1,16.3,6890,9,5,25000.0,4,83,N,2,2,2,2,25,25
33712,38-00100,67,1,1,0,1,0,2,1,1,73.0,8170,12,9,54800.0,7,501,N,2,2,2,2,105,104
33713,24-01004,51,2,1,0,1,0,2,1,1,4187.9,9170,15,11,192900.0,9,501,N,2,2,2,2,63,56
33714,08-00803,45,2,1,0,6,0,2,1,1,3393.2,7270,10,11,200000.0,9,501,N,2,2,2,2,89,82
33715,28-01100,74,1,1,0,2,0,4,1,1,2674.3,N,N,5,15300.0,4,342,N,2,2,2,2,202,202
33716,06-08507,47,2,1,0,6,3,5,1,1,3305.1,N,N,10,0.0,0,501,N,2,2,2,2,58,62
33717,08-00803,45,2,1,0,1,3,5,1,1,3393.2,7380,10,9,125000.0,9,501,N,2,2,2,2,106,95
33718,24-01004,56,2,1,0,6,0,3,1,1,4187.9,6970,9,9,713000.0,9,501,N,2,2,2,2,65,66
33719,30-00600,82,1,1,0,1,0,2,1,1,16.3,N,N,5,6300.0,1,266,N,2,2,2,2,13,15
33720,24-01004,35,1,1,0,1,2,4,1,1,4187.9,7390,10,9,150000.0,9,501,N,2,2,2,2,59,60
33721,24-01004,51,2,1,0,1,0,4,1,1,4187.9,7860,11,5,100000.0,8,501,N,2,2,2,2,60,60
33722,24-01004,77,1,1,0,1,0,2,1,1,4187.9,7790,10,10,89000.0,8,501,N,2,2,2,2,72,60
33723,17-03529,48,2,1,0,1,0,2,1,1,15097.5,7870,11,10,48000.0,6,501,N,2,2,2,2,49,50
33724,26-02702,29,2,1,0,1,3,5,1,2,4817.2,9170,15,9,22600.0,4,186,N,2,2,2,2,41,37
33725,19-01700,71,1,1,0,2,0,2,1,1,3572.3,N,N,4,30000.0,5,301,N,1,1,1,2,59,61
33726,24-01004,58,2,1,0,1,0,2,1,1,4187.9,9170,15,9,6100.0,1,501,N,2,2,2,2,58,57
33727,40-00200,52,2,1,0,1,0,4,1,1,90.7,7860,11,9,20000.0,4,364,N,2,2,2,2,24,25
33728,30-00600,30,2,1,0,1,3,5,1,1,16.3,7890,11,10,41000.0,6,435,N,2,2,2,2,26,16
33729,36-03710,62,2,1,2,7,0,3,1,1,52864.7,8370,13,7,1100.0,1,233,N,2,2,2,2,205,256
33730,51-51255,60,2,1,0,1,0,2,1,1,11224.3,4590,5,10,38000.0,5,501,N,2,2,2,2,42,43
33731,51-51255,47,1,1,0,1,1,3,1,1,11224.3,7390,10,10,164800.0,9,501,2,2,2,2,2,70,70
33732,30-00600,52,1,1,0,1,0,3,1,1,16.3,170,0,5,56000.0,7,501,N,2,2,2,2,19,14
33733,06-08507,36,1,1,0,6,1,3,1,2,3305.1,4795,6,9,190000.0,9,501,N,2,2,2,2,69,69
33734,08-00803,53,2,1,0,1,0,4,1,1,3393.2,7770,10,10,6000.0,1,501,N,2,2,2,2,102,109
33735,08-00803,53,2,1,0,1,0,2,1,1,3393.2,8590,14,10,38000.0,5,501,N,2,2,2,2,65,64
33736,06-08507,45,1,1,0,1,2,5,1,1,3305.1,7380,10,10,300000.0,9,501,N,2,2,2,2,38,38
33737,24-01004,45,2,1,4,1,2,4,1,2,4187.9,N,N,7,0.0,0,421,N,2,2,2,2,19,22
33738,32-00405,65,2,1,0,1,0,2,1,1,7990.5,7860,11,6,3150.0,1,200,N,2,2,2,2,31,31
33739,13-04600,62,1,1,0,1,0,2,1,1,3670.4,8191,12,9,48000.0,7,282,5,2,2,2,2,35,35
33740,32-00405,51,2,1,1,8,1,5,1,1,7990.5,7690,10,4,8400.0,2,245,N,2,2,2,2,76,76
33741,08-00803,73,1,1,0,1,0,2,1,1,3393.2,N,N,10,241500.0,9,501,N,2,2,2,2,78,79
33742,40-00200,44,2,1,0,3,0,3,1,1,90.7,770,3,7,12000.0,3,241,N,2,2,2,2,51,50
33743,32-00405,51,1,1,4,1,0,3,1,2,7990.5,4971,6,11,24000.0,4,350,N,2,2,2,2,57,57
33744,30-00600,53,2,1,0,1,0,2,1,1,16.3,6770,8,6,29060.0,5,215,N,2,2,2,2,73,80
33745,32-00405,23,2,1,1,1,0,2,1,2,7990.5,N,N,5,0.0,0,0,N,2,2,2,2,34,34
33746,26-02702,66,1,1,0,1,0,2,1,1,4817.2,3380,4,9,42800.0,6,501,N,2,2,2,2,59,60
33747,51-51255,40,1,1,0,2,0,2,1,2,11224.3,9590,16,10,105000.0,8,501,N,2,2,2,2,46,34
33748,38-00100,49,2,1,0,2,0,2,1,1,73.0,8590,14,5,19000.0,3,287,N,2,2,2,2,96,146
33749,51-01301,77,1,1,0,1,0,2,1,1,11162.8,3580,4,12,313000.0,9,501,N,2,2,2,1,163,163
33750,24-01004,72,1,1,0,1,0,2,1,1,4187.9,7270,10,11,385200.0,9,501,N,2,2,2,2,52,52
33751,06-07502,38,1,1,0,6,2,4,1,1,33632.6,5593,6,9,250000.0,9,501,N,2,2,2,2,58,59
33752,51-01301,44,2,1,0,1,4,6,1,1,11162.8,7890,11,10,2600.0,1,501,N,2,2,2,2,101,82
33753,28-01100,28,2,1,1,2,0,2,1,2,2674.3,8680,14,6,16560.0,4,215,N,2,2,2,2,306,322
33754,30-00600,53,1,1,0,1,0,4,1,1,16.3,770,3,7,19000.0,4,354,N,2,2,2,2,64,98
33755,01-01301,68,2,1,0,2,0,2,1,1,2731.2,N,N,9,15600.0,4,495,N,2,2,2,2,42,34
33756,24-01004,65,2,1,0,1,0,2,1,1,4187.9,N,N,9,20000.0,3,501,N,2,2,2,2,56,54
33757,29-01901,36,2,1,0,1,4,6,1,1,5434.8,8270,12,7,3000.0,1,153,N,2,2,2,2,57,56
33758,06-08507,44,1,1,0,6,1,3,1,2,3305.1,7380,10,10,172500.0,9,501,N,2,2,2,2,69,69
33759,13-04600,84,1,1,0,2,0,2,1,1,3670.4,N,N,9,23810.0,4,501,N,2,2,2,2,40,40
33760,30-00600,45,2,1,0,1,0,3,1,1,16.3,9470,16,5,19700.0,4,484,N,2,2,2,2,166,167
33761,28-01100,74,1,1,0,2,0,2,1,1,2674.3,N,N,3,16600.0,4,171,N,2,2,2,2,130,130
33762,30-00600,63,2,1,0,1,0,2,1,1,16.3,N,N,9,5600.0,1,501,N,2,2,2,2,28,25
33763,32-00405,63,2,1,1,1,0,3,1,2,7990.5,N,N,5,11690.0,2,436,N,2,2,2,2,68,74
33764,32-00405,58,2,1,0,1,0,3,1,2,7990.5,5391,6,7,22200.0,4,112,N,1,1,2,2,58,58
33765,17-03529,53,1,1,0,1,0,2,1,1,15097.5,6380,7,9,38400.0,5,501,N,2,2,2,2,57,103
33766,01-01301,61,1,1,0,2,0,2,1,1,2731.2,N,N,7,17080.0,4,204,5,2,2,1,1,62,58
33767,30-00600,46,1,1,0,1,0,2,1,1,16.3,3895,4,7,7700.0,2,215,N,2,2,2,2,81,81
33768,08-00803,64,2,1,0,1,0,2,1,1,3393.2,8180,12,9,32000.0,4,501,N,2,2,2,2,213,215
33769,17-03529,29,2,1,0,1,2,4,1,2,15097.5,9090,15,7,41600.0,6,303,N,2,2,2,2,111,99
33770,30-00600,68,1,1,0,1,0,2,1,1,16.3,N,N,9,9700.0,2,248,N,2,2,2,2,105,105
33771,06-08507,52,1,1,0,6,1,3,1,1,3305.1,6690,8,10,120000.0,9,501,N,2,2,2,2,121,121
33772,40-00200,83,1,1,0,1,0,2,1,1,90.7,N,N,10,21000.0,4,347,N,2,2,2,2,45,45
33773,13-04600,35,1,1,0,1,0,2,1,1,3670.4,8590,14,9,170000.0,9,501,N,2,2,2,2,151,154
33774,19-01700,54,2,1,0,1,0,3,1,1,3572.3,6490,8,7,408000.0,9,501,N,2,2,2,2,108,107
33775,08-00803,72,2,1,0,1,0,2,1,1,3393.2,8180,12,9,32000.0,4,501,N,2,2,2,2,219,222
33776,36-03710,66,1,1,0,2,0,2,1,2,52864.7,7072,9,7,85000.0,8,497,N,2,2,2,2,53,53
33777,36-03710,69,2,1,2,6,0,4,1,2,52864.7,N,N,8,16300.0,3,256,N,2,2,1,1,154,155
33778,30-00600,53,2,1,0,1,2,4,1,1,16.3,N,N,5,0.0,0,310,N,2,2,2,2,7,14
33779,06-07502,36,1,1,0,1,0,2,1,2,33632.6,7071,9,10,310000.0,9,501,N,2,2,2,2,137,139
33780,28-01100,40,1,1,0,2,0,3,1,1,2674.3,3570,4,4,64000.0,8,501,N,2,2,2,2,74,59
33781,38-00100,48,1,1,0,1,2,4,1,1,73.0,N,N,5,29000.0,4,347,N,2,2,2,2,47,63
33782,51-51255,30,2,1,1,1,2,4,1,2,11193.482988884958,7860,11,10,66000.0,7,501,N,2,2,2,2,218,85
33783,30-00600,52,1,1,0,2,3,5,1,1,36.20710065308285,6170,7,5,100000.0,9,333,N,2,2,2,2,441,326
33784,36-03710,71,1,1,2,2,1,4,1,2,52864.7,8180,12,3,50000.0,6,187,N,2,2,2,2,238,238
33785,24-01004,69,2,1,0,1,0,2,1,1,4187.9,N,N,9,38500.0,5,501,N,2,2,2,2,62,62
33786,28-01100,55,1,1,0,1,0,2,1,1,2674.3,2070,4,9,148000.0,9,501,N,2,2,2,2,44,44
33787,51-01301,53,2,1,0,2,1,4,1,1,11162.8,9480,16,10,112500.0,8,501,N,2,2,2,2,105,80
33788,36-03710,57,1,1,1,1,0,2,1,1,52864.7,8470,13,5,25500.0,4,298,N,2,2,2,2,80,81
33789,30-00600,50,2,1,0,3,0,3,1,1,16.3,8680,14,7,2000.0,1,476,N,2,2,2,2,79,76
33790,06-08507,42,1,1,0,6,2,4,1,1,3305.1,3390,4,12,573700.0,9,501,N,2,2,2,2,117,117
33791,06-08507,34,2,1,0,6,1,3,1,1,3305.1,7470,10,9,0.0,0,501,N,2,2,2,2,86,80
33792,06-07502,79,2,1,0,1,0,2,1,1,33632.6,N,N,9,4000.0,2,259,N,2,2,2,2,116,116
33793,38-00100,70,2,1,0,5,0,2,1,1,73.0,170,0,5,7000.0,1,501,N,2,2,2,2,78,42
33794,51-01301,72,2,1,0,1,0,2,1,1,11162.8,N,N,9,26100.0,4,501,N,2,2,2,2,75,84
33795,24-01004,64,1,1,0,8,0,3,1,1,4187.9,9160,15,9,60000.0,6,501,N,2,2,2,2,56,55
33796,06-07502,60,2,1,0,1,0,2,1,2,33632.6,4980,6,5,10000.0,2,269,N,2,2,2,2,90,76
33797,24-01004,65,2,1,0,1,0,2,1,1,4187.9,6770,8,10,121500.0,8,501,N,2,2,2,2,75,75
33798,06-08507,66,2,1,0,6,0,2,1,1,3305.1,7490,10,10,17700.0,3,501,N,2,2,2,2,60,60
33799,13-04600,47,2,1,0,2,0,2,1,2,3670.4,5593,6,5,40000.0,6,427,N,2,2,2,2,164,164
33800,08-00803,64,2,1,0,1,0,2,1,1,3393.2,7071,9,11,44400.0,6,501,N,2,2,2,2,104,98
33801,38-00100,68,1,1,0,1,0,2,1,1,73.0,180,0,7,54800.0,7,501,N,2,2,2,2,21,21
33802,19-01700,28,2,1,0,7,1,3,1,1,3572.3,N,N,5,5800.0,1,37,N,2,2,2,2,208,129
33803,30-00600,61,2,1,0,1,0,2,1,1,16.3,5580,6,5,40000.0,6,501,N,2,2,2,2,78,110
33804,38-00100,27,1,1,0,1,4,6,1,1,73.0,8470,13,8,36000.0,5,281,N,2,2,2,2,27,27
33805,19-01700,50,1,1,0,1,0,5,1,2,3572.3,3470,4,5,30000.0,5,205,N,2,2,2,2,54,54
33806,06-08507,38,2,1,0,6,2,4,1,1,3305.1,6780,8,10,571000.0,9,501,N,2,2,2,2,103,111
33807,24-01004,75,1,1,0,1,0,2,1,1,4187.9,N,N,9,38000.0,5,501,N,2,2,2,2,93,93
33808,30-00600,59,2,1,0,1,0,2,1,1,16.3,8191,12,6,47700.0,7,501,N,2,2,2,2,115,125
33809,51-51255,51,2,1,0,1,0,4,1,1,11224.3,7270,10,11,93100.0,8,501,N,2,2,2,2,48,54
33810,40-00200,35,1,1,0,1,1,3,1,1,90.7,N,N,8,0.0,0,0,N,2,2,2,2,39,39
33811,40-00200,72,1,1,0,1,0,3,1,1,90.7,4880,6,7,5300.0,2,263,N,2,2,2,2,120,120
33812,24-01004,50,1,1,0,1,0,2,1,1,4187.9,9170,15,11,192900.0,9,501,N,2,2,2,2,63,55
